Group,expgroup,nextDayCFU,Otu00001,Otu00002,Otu00003,Otu00004,Otu00005,Otu00006,Otu00007,Otu00008,Otu00009,Otu00010,Otu00011,Otu00012,Otu00013,Otu00014,Otu00015,Otu00016,Otu00017,Otu00018,Otu00019,Otu00020,Otu00021,Otu00022,Otu00023,Otu00024,Otu00025,Otu00026,Otu00027,Otu00028,Otu00029,Otu00030,Otu00031,Otu00032,Otu00033,Otu00034,Otu00035,Otu00036,Otu00037,Otu00038,Otu00039,Otu00040,Otu00041,Otu00042,Otu00043,Otu00044,Otu00045,Otu00046,Otu00047,Otu00048,Otu00049,Otu00050,Otu00051,Otu00052,Otu00053,Otu00054,Otu00055,Otu00056,Otu00057,Otu00058,Otu00059,Otu00060,Otu00061,Otu00062,Otu00063,Otu00064,Otu00065,Otu00066,Otu00067,Otu00068,Otu00069,Otu00070,Otu00071,Otu00072,Otu00073,Otu00074,Otu00075,Otu00076,Otu00077,Otu00078,Otu00079,Otu00080,Otu00081,Otu00082,Otu00083,Otu00084,Otu00085,Otu00086,Otu00087,Otu00088,Otu00089,Otu00090,Otu00091,Otu00092,Otu00093,Otu00094,Otu00095,Otu00096,Otu00097,Otu00098,Otu00099,Otu00100,Otu00101,Otu00102,Otu00103,Otu00104,Otu00106,Otu00107,Otu00108,Otu00109,Otu00110,Otu00112,Otu00113,Otu00115,Otu00116,Otu00117,Otu00119,Otu00120,Otu00122,Otu00123,Otu00124,Otu00125,Otu00126,Otu00127,Otu00128,Otu00129,Otu00130,Otu00132,Otu00133,Otu00134,Otu00135,Otu00138,Otu00139,Otu00140,Otu00142,Otu00143,Otu00144,Otu00145,Otu00146,Otu00147,Otu00148,Otu00149,Otu00150,Otu00151,Otu00152,Otu00153,Otu00154,Otu00155,Otu00157,Otu00158,Otu00159,Otu00163,Otu00164,Otu00165,Otu00166,Otu00167,Otu00171,Otu00172,Otu00173,Otu00174,Otu00176,Otu00177,Otu00179,Otu00180,Otu00181,Otu00182,Otu00184,Otu00185,Otu00186,Otu00187,Otu00188,Otu00189,Otu00190,Otu00192,Otu00193,Otu00194,Otu00199,Otu00201,Otu00203,Otu00204,Otu00205,Otu00206,Otu00212,Otu00217,Otu00218,Otu00219,Otu00220,Otu00222,Otu00224,Otu00227,Otu00228,Otu00229,Otu00233,Otu00236,Otu00237,Otu00239,Otu00241,Otu00242,Otu00244,Otu00245,Otu00246,Otu00248,Otu00250,Otu00251,Otu00252,Otu00255,Otu00260,Otu00261,Otu00264,Otu00265,Otu00268,Otu00271,Otu00272,Otu00275,Otu00276,Otu00277,Otu00278,Otu00282,Otu00283,Otu00284,Otu00286,Otu00290,Otu00291,Otu00297,Otu00298,Otu00299,Otu00300,Otu00309,Otu00310,Otu00311,Otu00312,Otu00313,Otu00314,Otu00315,Otu00321,Otu00322,Otu00323,Otu00326,Otu00333,Otu00335,Otu00339,Otu00342,Otu00344,Otu00346,Otu00349,Otu00355,Otu00357,Otu00361,Otu00373,Otu00375,Otu00377,Otu00384,Otu00385,Otu00386,Otu00387,Otu00393,Otu00395,Otu00397,Otu00402,Otu00406,Otu00412,Otu00414,Otu00417,Otu00421,Otu00431,Otu00433,Otu00435,Otu00438,Otu00439,Otu00444,Otu00447,Otu00464,Otu00472,Otu00490,Otu00502,Otu00505,Otu00507,Otu00510,Otu00512,Otu00514,Otu00515,Otu00521,Otu00539,Otu00541,Otu00545,Otu00563,Otu00576,Otu00601,Otu00636,Otu00639,Otu00684,Otu00710,Otu00788,Otu00842,Otu01107,Otu01113,Otu01150,Otu01330,Otu02109,Otu03675,rareOTUs
600-1D-6,control,0,28,1,19,290,215,84,376,49,0,0,3,15,75,51,13,2,0,58,11,65,33,0,15,0,0,4,0,2,1,0,0,41,0,0,1,6,1,5,23,0,0,4,0,0,0,0,11,1,0,1,2,0,3,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,6,0,0,0,0,7,0,0,0,0,0,0,1,0,1,1,1,0,0,4,0,0,6,2,0,0,0,6,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
600-3D-6,control,0,72,4,28,192,177,61,542,56,0,2,3,18,75,72,10,4,0,54,10,63,39,0,15,1,0,0,1,3,7,0,0,4,1,1,0,1,0,4,5,0,2,3,0,0,1,0,12,0,0,0,3,0,1,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
600-4D-6,control,0,14,0,7,42,875,14,158,7,0,2,18,3,46,89,4,2,2,19,2,62,36,0,12,0,1,1,0,0,0,0,0,27,1,0,0,5,0,1,32,0,0,6,0,0,0,0,12,1,0,0,4,0,2,5,0,3,0,2,0,2,0,0,0,5,1,0,0,2,0,0,3,2,1,0,0,7,4,0,0,0,1,0,0,1,0,0,0,0,2,3,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,1,0,1,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,1,1,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
007-1D-6,control,0,57,8,26,69,243,196,137,61,6,71,5,8,55,156,8,15,0,13,19,60,93,29,17,3,9,0,1,0,3,0,0,0,3,2,0,1,2,2,5,5,0,5,14,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,1,0,1,0,1,0,0,1,0,0,2,1,1,0,0,0,1,2,0,0,0,0,2,1,0,1,0,0,5,0,0,4,0,0,0,0,1,1,0,0,0,0,0,5,0,12,2,0,0,0,1,0,1,0,0,0,4,0,2,0,0,0,15,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,1,0,0,0,0,2,0,0,2,0,2,0,22,1,2,0,0,0,0,8,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13
007-2D-6,control,0,29,6,50,69,186,165,70,34,2,77,4,11,76,31,1,6,23,33,20,161,44,23,3,6,0,2,0,1,7,0,3,0,1,8,0,1,5,1,2,0,0,1,18,0,0,0,0,1,1,2,1,0,0,2,0,5,0,0,0,3,0,0,0,6,0,0,0,0,0,0,6,1,1,0,2,37,0,0,0,4,1,0,0,5,0,34,0,0,0,3,0,2,0,1,0,0,0,2,0,1,0,0,0,1,0,0,1,0,4,0,4,0,1,0,0,0,0,0,0,14,0,1,0,0,0,2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,6,1,15,9,3,0,0,0,0,12,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,56,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,0,1,0,0,2,0,0,6,0,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,27,0,13
007-357D-6,control,0,73,23,33,156,97,247,185,89,3,58,42,35,99,5,3,4,8,39,20,102,32,8,4,14,0,3,2,0,4,0,0,2,2,2,0,0,6,5,5,0,0,3,1,1,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,4,0,2,0,3,8,0,0,1,0,0,1,1,0,0,0,4,0,0,0,0,4,0,0,2,0,17,1,2,0,0,1,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,2,0,6,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15,0,11,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,30,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,11,0,16
007-358D-6,control,0,29,4,66,89,170,234,253,130,0,15,16,28,36,22,2,6,1,50,10,78,70,4,31,0,1,4,1,0,1,0,4,0,2,0,1,5,4,2,10,0,0,2,0,0,0,0,1,1,0,0,1,0,4,2,0,16,0,0,0,4,0,0,0,15,2,0,0,0,0,0,0,1,1,0,1,9,1,0,0,3,6,0,0,4,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,8,1,2,0,0,0,0,0,0,0,4,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,27,0,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,5,0,0,4,0,0,3,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,7,0,15
039-1D-6,control,0,112,26,32,60,159,100,140,17,6,80,0,10,171,23,26,14,268,7,29,50,75,66,26,0,1,7,2,0,0,1,0,1,1,12,1,0,0,4,18,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
039-3D-6,control,0,164,34,39,108,136,215,165,48,13,31,3,11,55,22,30,24,195,9,28,71,54,110,15,0,1,1,0,0,2,0,0,0,5,8,1,0,0,2,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
040-1D-6,control,0,166,6,25,95,213,202,153,34,0,11,1,8,61,32,15,4,50,25,25,72,22,26,12,18,0,20,27,0,1,0,0,6,7,50,9,3,2,10,3,0,0,12,0,0,0,0,1,1,0,1,3,0,11,0,0,0,0,0,0,14,0,0,0,10,0,1,0,0,0,0,0,11,0,0,1,0,1,1,0,0,3,0,0,3,0,14,0,4,0,0,0,5,0,0,3,2,0,0,1,0,0,0,2,0,0,1,0,0,0,6,0,1,7,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,3,12,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11
040-2D-6,control,0,114,6,34,83,283,165,167,51,0,19,0,6,61,87,11,7,36,42,12,55,95,17,25,0,0,4,7,0,2,0,3,8,7,9,2,2,2,12,35,0,0,10,0,0,0,0,2,0,0,4,1,0,7,0,0,2,0,0,0,4,0,0,1,11,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,1,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13
040-3D-6,control,0,204,9,32,42,292,168,229,25,1,50,1,13,82,133,12,2,0,28,37,28,1,13,8,9,0,1,2,0,0,0,1,1,0,28,2,2,1,2,43,0,0,2,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,35,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
040-4D-6,control,0,192,7,9,23,218,110,93,6,4,52,8,3,108,34,33,10,81,41,23,60,162,34,49,0,7,1,4,0,0,0,0,0,0,17,0,0,0,4,25,9,0,0,0,6,10,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,1,0,0,4,0,0,0,0,2,0,2,2,0,1,1,26,4,0,8,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,29,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,8
103-1-D-6,control,0,27,28,10,285,22,282,217,104,0,59,4,2,52,187,7,15,1,143,29,5,3,1,6,0,0,0,0,6,7,0,4,0,1,1,0,1,1,0,0,1,0,17,0,7,0,1,0,0,1,12,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,7,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,5,0,2,0,0,0,0,0,0,3,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
103-2-D-6,control,0,92,15,5,239,40,219,368,69,1,22,7,1,129,119,7,11,0,115,30,1,44,3,27,0,0,0,1,4,1,0,0,0,0,0,0,1,3,1,2,0,0,0,0,4,0,0,1,0,0,3,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
103-3-D-6,control,0,26,25,40,105,203,154,391,63,0,20,4,20,9,30,30,8,0,77,27,103,5,0,2,5,0,20,4,0,2,0,9,0,7,0,8,8,0,0,0,0,0,19,0,1,0,0,1,2,0,5,0,0,0,3,0,0,1,0,2,0,0,0,0,3,0,1,0,0,0,0,0,1,3,0,0,1,0,0,0,6,7,0,0,0,0,0,0,1,0,11,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,92,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
047-1D-6,control,0,146,34,25,104,127,272,214,28,15,22,0,17,212,45,17,43,0,0,58,48,1,12,11,1,0,21,1,0,9,0,0,0,9,7,10,0,4,1,2,0,0,9,3,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,5,0,0,0,0,2,0,2,0,2,0,5,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
047-2D-6,control,0,199,29,37,93,196,242,212,23,12,59,0,4,103,29,15,23,71,18,42,74,13,59,8,0,0,2,2,0,4,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,13,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
047-3D-6,control,0,124,29,35,43,170,142,188,24,7,62,0,4,77,44,19,28,91,5,32,118,11,25,4,0,0,11,43,0,7,0,0,0,9,21,20,9,5,0,2,1,0,17,0,0,0,0,0,4,3,3,2,0,5,0,0,3,0,0,2,18,0,0,0,2,0,0,1,0,0,0,1,8,0,0,0,5,0,0,0,1,2,0,0,0,0,12,1,1,0,0,0,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,4,21,0,0,8,0,0,0,0,0,0,3,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
627-1D-6,control,0,37,9,73,41,82,170,165,48,0,17,3,21,103,45,5,5,0,10,47,169,139,0,17,0,4,4,15,6,4,0,0,3,1,2,0,3,0,6,5,2,0,0,1,2,4,2,6,1,0,2,2,0,0,10,0,0,0,2,0,0,0,2,0,4,0,0,0,0,0,0,1,0,28,3,0,9,0,0,1,14,1,0,0,8,0,2,1,0,1,11,0,0,0,1,17,0,0,2,0,0,1,0,1,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,1,4,0,5,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,33,0,0,0,0,0,23,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,61,0,12
